id,title,status,release_date,revenue,production_companies,genres
166426,Pirates of the Caribbean: Dead Men Tell No Tales,Released,2017-05-23,795922298,Walt Disney Pictures,"Adventure, Action, Fantasy"
350,The Devil Wears Prada,Released,2006-06-29,326706115,20th Century Fox,"Comedy, Drama, Romance"
332562,A Star Is Born,Released,2018-10-03,433888866,Warner Bros. Pictures,"Music, Drama, Romance"
2048,"I, Robot",Released,2004-07-15,347234916,20th Century Fox,"Action, Science Fiction"
61791,Rise of the Planet of the Apes,Released,2011-08-03,482860185,20th Century Fox,"Thriller, Action, Drama, Science Fiction"
161,Ocean's Eleven,Released,2001-12-07,450717150,Warner Bros. Pictures,"Thriller, Crime"
146233,Prisoners,Released,2013-09-19,122126687,Warner Bros. Pictures,"Drama, Thriller, Crime"
812,Aladdin,Released,1992-11-25,504050219,Walt Disney Pictures,"Animation, Family, Adventure, Fantasy, Romance"
38757,Tangled,Released,2010-11-24,592461732,Walt Disney Pictures,"Animation, Family"
8358,Cast Away,Released,2000-12-22,429632142,20th Century Fox,"Adventure, Drama"
36657,X-Men,Released,2000-07-13,296339527,20th Century Fox,"Adventure, Action, Science Fiction"
8681,Taken,Released,2008-02-18,226830568,20th Century Fox,"Action, Thriller"
338952,Fantastic Beasts: The Crimes of Grindelwald,Released,2018-11-14,654855901,Warner Bros. Pictures,"Fantasy, Adventure, Family"
562,Die Hard,Released,1988-07-15,140767956,20th Century Fox,"Action, Thriller"
771,Home Alone,Released,1990-11-16,476684675,20th Century Fox,"Comedy, Family"
13223,Gran Torino,Released,2008-12-12,269958228,Warner Bros. Pictures,Drama
62211,Monsters University,Released,2013-06-19,743559607,Walt Disney Pictures,"Animation, Family"
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Released,2005-12-07,745013115,Walt Disney Pictures,"Adventure, Family, Fantasy"
2080,X-Men Origins: Wolverine,Released,2009-04-28,373062864,20th Century Fox,"Adventure, Action, Thriller, Science Fiction"
45243,The Hangover Part II,Released,2011-05-25,586764305,Warner Bros. Pictures,Comedy
58574,Sherlock Holmes: A Game of Shadows,Released,2011-11-22,334615000,Warner Bros. Pictures,"Adventure, Action, Crime, Mystery"
294254,Maze Runner: The Scorch Trials,Released,2015-09-09,312296056,20th Century Fox,"Science Fiction, Action, Thriller, Adventure"
600,Full Metal Jacket,Released,1987-06-26,46357676,Warner Bros. Pictures,"Drama, War"
495764,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),Released,2020-02-05,205372791,Warner Bros. Pictures,"Action, Crime"
1949,Zodiac,Released,2007-03-02,84785914,Warner Bros. Pictures,"Crime, Drama, Mystery, Thriller"
787,Mr. & Mrs. Smith,Released,2005-06-07,487287646,20th Century Fox,"Action, Comedy, Drama, Thriller"
343668,Kingsman: The Golden Circle,Released,2017-09-20,410902662,20th Century Fox,"Action, Adventure, Comedy"
1593,Night at the Museum,Released,2006-12-20,574480841,20th Century Fox,"Action, Adventure, Comedy, Family, Fantasy"
508442,Soul,Released,2020-12-25,136384442,Walt Disney Pictures,"Animation, Family, Comedy, Fantasy, Drama"
420817,Aladdin,Released,2019-05-22,1054304000,Walt Disney Pictures,"Adventure, Fantasy, Romance, Family"
36658,X2,Released,2003-04-27,407711549,20th Century Fox,"Adventure, Action, Science Fiction"
283366,Miss Peregrine's Home for Peculiar Children,Released,2016-09-27,296482446,20th Century Fox,"Fantasy, Adventure"
652,Troy,Released,2004-05-13,497409852,Warner Bros. Pictures,"Adventure, History, War, Action"
420818,The Lion King,Released,2019-07-12,1663075401,Walt Disney Pictures,"Adventure, Drama, Family"
10020,Beauty and the Beast,Released,1991-10-22,424967620,Walt Disney Pictures,"Romance, Family, Animation, Fantasy"
392044,Murder on the Orient Express,Released,2017-11-03,352794081,20th Century Fox,"Mystery, Drama, Crime"
791373,Zack Snyder's Justice League,Released,2021-03-18,0,Warner Bros. Pictures,"Action, Adventure, Fantasy"
301528,Toy Story 4,Released,2019-06-19,1073394593,Walt Disney Pictures,"Family, Adventure, Animation, Comedy, Fantasy"
950,Ice Age: The Meltdown,Released,2006-03-29,660998756,20th Century Fox,"Animation, Family, Comedy, Adventure"
330457,Frozen II,Released,2019-11-20,1450026933,Walt Disney Pictures,"Family, Animation, Adventure, Comedy, Fantasy"
36668,X-Men: The Last Stand,Released,2006-05-24,459359555,20th Century Fox,"Adventure, Action, Science Fiction, Thriller"
76170,The Wolverine,Released,2013-07-23,415440673,20th Century Fox,"Action, Science Fiction, Adventure, Fantasy"
381284,Hidden Figures,Released,2016-12-10,235956898,20th Century Fox,"Drama, History"
82702,How to Train Your Dragon 2,Released,2014-06-05,621537519,20th Century Fox,"Fantasy, Action, Adventure, Animation, Comedy, Family"
10674,Mulan,Released,1998-06-18,304320254,Walt Disney Pictures,"Animation, Family, Adventure"
602,Independence Day,Released,1996-06-25,817400891,20th Century Fox,"Action, Adventure, Science Fiction"
70,Million Dollar Baby,Released,2004-12-15,216763646,Warner Bros. Pictures,Drama
316029,The Greatest Showman,Released,2017-12-20,432844677,20th Century Fox,Drama
9738,Fantastic Four,Released,2005-06-29,333535934,20th Century Fox,"Action, Adventure, Fantasy, Science Fiction"
679,Aliens,Released,1986-07-18,183316455,20th Century Fox,"Action, Thriller, Science Fiction"
577922,Tenet,Released,2020-08-22,365304105,Warner Bros. Pictures,"Action, Thriller, Science Fiction"
772,Home Alone 2: Lost in New York,Released,1992-11-19,358994850,20th Century Fox,"Comedy, Family, Adventure"
568124,Encanto,Released,2021-10-13,253000000,Walt Disney Pictures,"Animation, Comedy, Family, Fantasy"
414906,The Batman,Released,2022-03-01,770945583,Warner Bros. Pictures,"Crime, Mystery, Thriller"
9487,A Bug's Life,Released,1998-11-25,363258859,Walt Disney Pictures,"Adventure, Animation, Comedy, Family"
337404,Cruella,Released,2021-05-26,233503234,Walt Disney Pictures,"Comedy, Crime"
13183,Watchmen,Released,2009-03-04,185258983,Warner Bros. Pictures,"Action, Mystery, Science Fiction"
9479,The Nightmare Before Christmas,Released,1993-10-09,75634409,Walt Disney Pictures,"Fantasy, Animation, Family"
399579,Alita: Battle Angel,Released,2019-01-31,404980543,20th Century Fox,"Action, Science Fiction, Adventure"
138832,We're the Millers,Released,2013-08-07,269994119,Warner Bros. Pictures,"Comedy, Crime"
3933,Corpse Bride,Released,2005-09-12,118133252,Warner Bros. Pictures,"Romance, Fantasy, Animation"
254128,San Andreas,Released,2015-05-27,473990832,Warner Bros. Pictures,"Action, Drama, Thriller"
281338,War for the Planet of the Apes,Released,2017-07-11,490719763,20th Century Fox,"Drama, Science Fiction, War"
180,Minority Report,Released,2002-06-20,358372926,20th Century Fox,"Action, Thriller, Science Fiction, Mystery"
464052,Wonder Woman 1984,Released,2020-12-16,169601036,Warner Bros. Pictures,"Action, Adventure, Fantasy"
126889,Alien: Covenant,Released,2017-05-09,240891763,20th Century Fox,"Science Fiction, Horror, Mystery"
402900,Ocean's Eight,Released,2018-06-07,297718711,Warner Bros. Pictures,"Crime, Comedy, Action"
50646,"Crazy, Stupid, Love.",Released,2011-07-29,145079584,Warner Bros. Pictures,"Comedy, Drama, Romance"
68734,Argo,Released,2012-10-11,232325503,Warner Bros. Pictures,"Drama, Thriller"
436969,The Suicide Squad,Released,2021-07-28,168717425,Warner Bros. Pictures,"Action, Comedy, Adventure"
8355,Ice Age: Dawn of the Dinosaurs,Released,2009-06-26,886686817,20th Century Fox,"Animation, Comedy, Family, Adventure"
278927,The Jungle Book,Released,2016-04-07,966550600,Walt Disney Pictures,"Family, Adventure, Drama, Fantasy"
508943,Luca,Released,2021-06-17,49750471,Walt Disney Pictures,"Animation, Comedy, Fantasy, Adventure, Family"
435,The Day After Tomorrow,Released,2004-05-26,552639571,20th Century Fox,"Action, Adventure, Science Fiction, Thriller"
35,The Simpsons Movie,Released,2007-07-25,527068851,20th Century Fox,"Animation, Comedy, Family"
1979,Fantastic Four: Rise of the Silver Surfer,Released,2007-06-13,301913131,20th Century Fox,"Adventure, Fantasy, Action, Thriller"
256591,Focus,Released,2015-02-25,153962963,Warner Bros. Pictures,"Romance, Comedy, Crime"
10144,The Little Mermaid,Released,1989-11-17,211343479,Walt Disney Pictures,"Animation, Family, Fantasy"
338970,Tomb Raider,Released,2018-03-05,274650803,Warner Bros. Pictures,"Action, Adventure, Fantasy"
106,Predator,Released,1987-06-12,98267558,20th Century Fox,"Science Fiction, Action, Adventure, Thriller"
9552,The Exorcist,Released,1973-12-26,441405644,Warner Bros. Pictures,Horror
137106,The Lego Movie,Released,2014-02-06,469160692,,"Animation, Family, Adventure, Comedy, Fantasy"
290250,The Nice Guys,Released,2016-05-15,62788218,Warner Bros. Pictures,"Comedy, Crime, Action"
268,Batman,Released,1989-06-21,411348924,Warner Bros. Pictures,"Fantasy, Action, Crime"
336843,Maze Runner: The Death Cure,Released,2018-01-10,288175335,20th Century Fox,"Science Fiction, Action, Adventure, Thriller"
49013,Cars 2,Released,2011-06-11,559852396,Walt Disney Pictures,"Animation, Family, Adventure, Comedy"
57800,Ice Age: Continental Drift,Released,2012-06-27,877244782,20th Century Fox,"Animation, Comedy, Adventure, Family"
345940,The Meg,Released,2018-08-09,530517320,Warner Bros. Pictures,"Action, Science Fiction, Horror"
1372,Blood Diamond,Released,2006-12-08,171720398,Warner Bros. Pictures,"Drama, Thriller, Action"
404368,Ralph Breaks the Internet,Released,2018-11-20,529323962,Walt Disney Pictures,"Family, Animation, Comedy, Adventure"
359724,Ford v Ferrari,Released,2019-11-13,225508210,20th Century Fox,"Drama, Action, History"
312221,Creed,Released,2015-11-25,173567581,Warner Bros. Pictures,"Action, Drama"
11970,Hercules,Released,1997-06-20,252712101,Walt Disney Pictures,"Animation, Family, Fantasy, Adventure, Comedy, Romance"
44912,Green Lantern,Released,2011-06-14,219851172,Warner Bros. Pictures,"Adventure, Action, Thriller, Science Fiction"
62213,Dark Shadows,Released,2012-05-09,245527149,Warner Bros. Pictures,"Comedy, Fantasy"
163,Ocean's Twelve,Released,2004-12-09,362744280,Warner Bros. Pictures,"Thriller, Crime"
363676,Sully,Released,2016-09-07,240797623,Warner Bros. Pictures,"Drama, History"
295693,The Boss Baby,Released,2017-03-23,527965936,20th Century Fox,"Animation, Comedy, Family"
150689,Cinderella,Released,2015-03-06,543514353,Walt Disney Pictures,"Romance, Fantasy, Family, Drama"
20526,TRON: Legacy,Released,2010-12-14,400062763,Walt Disney Pictures,"Adventure, Action, Science Fiction"
49519,The Croods,Released,2013-03-15,587204668,20th Century Fox,"Animation, Adventure, Family, Fantasy, Comedy, Action"
158852,Tomorrowland,Released,2015-05-19,209154322,Walt Disney Pictures,"Adventure, Family, Mystery, Science Fiction"
949,Heat,Released,1995-12-15,187436818,Warner Bros. Pictures,"Action, Crime, Drama"
561,Constantine,Released,2005-02-08,230884728,Warner Bros. Pictures,"Fantasy, Action, Horror"
18360,Night at the Museum: Battle of the Smithsonian,Released,2009-05-20,413106170,20th Century Fox,"Adventure, Fantasy, Action, Comedy, Family"
76757,Jupiter Ascending,Released,2015-02-04,183987723,Warner Bros. Pictures,"Science Fiction, Fantasy, Action"
10201,Yes Man,Released,2008-12-09,223241637,Warner Bros. Pictures,"Comedy, Romance"
9543,Prince of Persia: The Sands of Time,Released,2010-05-19,336365676,Walt Disney Pictures,"Adventure, Fantasy, Action"
616,The Last Samurai,Released,2003-12-05,456758981,Warner Bros. Pictures,"Drama, Action, War"
337401,Mulan,Released,2020-09-04,66800000,Walt Disney Pictures,"Adventure, Fantasy, Drama, Action"
527774,Raya and the Last Dragon,Released,2021-03-03,130423032,Walt Disney Pictures,"Animation, Family, Fantasy, Action, Adventure"
37135,Tarzan,Released,1999-06-18,448191819,Walt Disney Pictures,"Family, Adventure, Animation, Drama"
68728,Oz the Great and Powerful,Released,2013-03-07,491868548,Walt Disney Pictures,"Fantasy, Adventure, Family"
82675,Taken 2,Released,2012-09-27,376141306,20th Century Fox,"Action, Crime, Thriller"
46195,Rio,Released,2011-04-03,484635760,20th Century Fox,"Animation, Adventure, Comedy, Family"
419704,Ad Astra,Released,2019-09-17,127461872,20th Century Fox,"Science Fiction, Drama"
4011,Beetlejuice,Released,1988-03-30,74714298,Warner Bros. Pictures,"Fantasy, Comedy"
11688,The Emperor's New Groove,Released,2000-12-15,169327687,Walt Disney Pictures,"Adventure, Animation, Comedy, Family, Fantasy"
296,Terminator 3: Rise of the Machines,Released,2003-07-02,435000000,Warner Bros. Pictures,"Action, Thriller, Science Fiction"
53182,300: Rise of an Empire,Released,2014-03-05,337580051,Warner Bros. Pictures,"Action, Drama, War"
47964,A Good Day to Die Hard,Released,2013-02-06,304654182,20th Century Fox,"Action, Thriller"
322,Mystic River,Released,2003-03-03,156822020,Warner Bros. Pictures,"Thriller, Crime, Drama, Mystery"
241259,Alice Through the Looking Glass,Released,2016-05-25,299457024,Walt Disney Pictures,"Adventure, Family, Fantasy"
534,Terminator Salvation,Released,2009-05-20,371353001,Warner Bros. Pictures,"Action, Science Fiction, Thriller"
364,Batman Returns,Released,1992-06-19,280000000,Warner Bros. Pictures,"Action, Fantasy"
320288,Dark Phoenix,Released,2019-06-05,252442974,20th Century Fox,"Fantasy, Science Fiction, Action, Adventure"
258489,The Legend of Tarzan,Released,2016-06-29,356743061,Warner Bros. Pictures,"Fantasy, Action, Adventure"
2454,The Chronicles of Narnia: Prince Caspian,Released,2008-05-15,419665568,Walt Disney Pictures,"Adventure, Family, Fantasy"
22881,The Blind Side,Released,2009-11-20,309208309,Warner Bros. Pictures,Drama
18823,Clash of the Titans,Released,2010-03-26,493214993,Warner Bros. Pictures,"Adventure, Fantasy, Action"
298,Ocean's Thirteen,Released,2007-06-05,311312624,Warner Bros. Pictures,"Crime, Thriller"
203801,The Man from U.N.C.L.E.,Released,2015-08-13,108145109,Warner Bros. Pictures,"Comedy, Action, Adventure"
2059,National Treasure,Released,2004-11-19,347512318,Walt Disney Pictures,"Adventure, Action, Thriller, Mystery"
927,Gremlins,Released,1984-06-08,153083102,Warner Bros. Pictures,"Fantasy, Horror, Comedy"
449176,"Love, Simon",Released,2018-02-16,66316289,20th Century Fox,"Comedy, Drama, Romance"
250546,Annabelle,Released,2014-10-02,257047661,Warner Bros. Pictures,Horror
644,A.I. Artificial Intelligence,Released,2001-06-29,235926552,Warner Bros. Pictures,"Drama, Science Fiction, Adventure"
420809,Maleficent: Mistress of Evil,Released,2019-10-16,491730089,Walt Disney Pictures,"Family, Fantasy, Adventure, Action"
508439,Onward,Released,2020-02-29,141940042,Walt Disney Pictures,"Family, Animation, Adventure, Comedy, Fantasy"
47933,Independence Day: Resurgence,Released,2016-06-22,389681935,20th Century Fox,"Action, Adventure, Science Fiction"
11544,Lilo & Stitch,Released,2002-06-21,273144151,Walt Disney Pictures,"Animation, Family"
39538,Contagion,Released,2011-09-08,137551594,Warner Bros. Pictures,"Drama, Thriller, Science Fiction"
166424,Fantastic Four,Released,2015-08-05,167977596,20th Century Fox,"Action, Adventure, Science Fiction"
302946,The Accountant,Released,2016-10-13,155160045,Warner Bros. Pictures,"Crime, Thriller, Drama"
788,Mrs. Doubtfire,Released,1993-11-24,441286195,20th Century Fox,"Comedy, Drama, Family"
2300,Space Jam,Released,1996-11-15,250200000,Warner Bros. Pictures,"Family, Animation, Comedy, Science Fiction"
1572,Die Hard: With a Vengeance,Released,1995-05-19,366101666,20th Century Fox,"Action, Thriller"
1637,Speed,Released,1994-06-09,350448145,20th Century Fox,"Action, Adventure, Crime"
401981,Red Sparrow,Released,2018-02-28,151572634,20th Century Fox,"Thriller, Mystery"
13053,Bolt,Released,2008-11-21,309979994,Walt Disney Pictures,"Animation, Family, Adventure, Comedy"
345,Eyes Wide Shut,Released,1999-07-16,162100000,Warner Bros. Pictures,"Drama, Thriller, Mystery"
57201,The Lone Ranger,Released,2013-07-03,260502115,Walt Disney Pictures,"Action, Adventure, Western"
302699,Central Intelligence,Released,2016-06-16,216972543,Warner Bros. Pictures,"Action, Comedy, Crime, Mystery"
13885,Sweeney Todd: The Demon Barber of Fleet Street,Released,2007-12-20,152000000,Warner Bros. Pictures,"Drama, Horror"
1813,The Devil's Advocate,Released,1997-10-17,152944660,Warner Bros. Pictures,"Drama, Mystery, Thriller, Horror"
1571,Live Free or Die Hard,Released,2007-06-20,383531464,20th Century Fox,"Action, Thriller"
2034,Training Day,Released,2001-10-05,104876233,Warner Bros. Pictures,"Action, Crime, Drama"
260346,Taken 3,Released,2014-12-16,325771424,20th Century Fox,"Thriller, Action"
274857,King Arthur: Legend of the Sword,Released,2017-05-10,148675066,Warner Bros. Pictures,"Action, Drama, Fantasy"
140300,Kung Fu Panda 3,Released,2016-01-23,521170825,20th Century Fox,"Action, Adventure, Animation, Comedy, Family"
3049,Ace Ventura: Pet Detective,Released,1994-02-04,107217396,Warner Bros. Pictures,"Comedy, Adventure"
10530,Pocahontas,Released,1995-06-14,346079773,Walt Disney Pictures,"Adventure, Animation, Family, Romance"
1573,Die Hard 2,Released,1990-07-03,240031094,20th Century Fox,"Action, Thriller"
396422,Annabelle: Creation,Released,2017-08-03,306515884,Warner Bros. Pictures,"Horror, Mystery, Thriller"
9340,The Goonies,Released,1985-06-07,61389680,Warner Bros. Pictures,"Adventure, Comedy, Family"
49529,John Carter,Released,2012-03-07,284139100,Walt Disney Pictures,"Action, Adventure, Science Fiction"
451048,Jungle Cruise,Released,2021-07-28,220889446,Walt Disney Pictures,"Action, Adventure, Fantasy"
10386,The Iron Giant,Released,1999-08-06,23159305,Warner Bros. Pictures,"Family, Animation, Science Fiction, Drama"
157353,Transcendence,Released,2014-04-16,103039258,Warner Bros. Pictures,"Thriller, Science Fiction, Drama, Mystery"
4523,Enchanted,Released,2007-11-20,340487652,Walt Disney Pictures,"Comedy, Family, Fantasy, Romance"
8077,Alien³,Released,1992-05-22,159773545,20th Century Fox,"Science Fiction, Action, Horror"
10198,The Princess and the Frog,Released,2009-12-08,270997378,Walt Disney Pictures,"Romance, Family, Animation"
41733,Due Date,Released,2010-11-03,211780824,Warner Bros. Pictures,"Comedy, Drama"
624860,The Matrix Resurrections,Released,2021-12-16,156497322,Warner Bros. Pictures,"Science Fiction, Action, Adventure"
75,Mars Attacks!,Released,1996-12-13,101371017,Warner Bros. Pictures,"Comedy, Fantasy, Science Fiction"
1635,The Island,Released,2005-07-21,162949164,Warner Bros. Pictures,"Action, Thriller, Science Fiction, Adventure"
9444,Anastasia,Released,1997-11-20,139804348,20th Century Fox,"Animation, Family, Fantasy, Adventure"
496,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Released,2006-11-01,262552893,20th Century Fox,Comedy
289,Casablanca,Released,1943-01-15,10462500,Warner Bros. Pictures,"Drama, Romance"
